Frequency (Hz),Angle of attack (deg),Chord length (m),Free-stream velocity (m/s),suction side displacement thickness (m),Scaled sound pressure levels (dec)
1600,7.3,0.2286,71.3,0.0104404,125.728
2000,7.3,0.2286,71.3,0.0104404,122.708
2500,7.3,0.2286,71.3,0.0104404,122.088
3150,7.3,0.2286,71.3,0.0104404,120.458
4000,7.3,0.2286,71.3,0.0104404,119.208
5000,7.3,0.2286,71.3,0.0104404,115.298
6300,7.3,0.2286,71.3,0.0104404,115.818
200,7.3,0.2286,55.5,0.0111706,135.234
250,7.3,0.2286,55.5,0.0111706,136.384
315,7.3,0.2286,55.5,0.0111706,136.284
400,7.3,0.2286,55.5,0.0111706,135.924
500,7.3,0.2286,55.5,0.0111706,133.174
630,7.3,0.2286,55.5,0.0111706,130.934
800,7.3,0.2286,55.5,0.0111706,128.444
1000,7.3,0.2286,55.5,0.0111706,125.194
1250,7.3,0.2286,55.5,0.0111706,125.724
1600,7.3,0.2286,55.5,0.0111706,123.354
2000,7.3,0.2286,55.5,0.0111706,120.354
2500,7.3,0.2286,55.5,0.0111706,118.994
3150,7.3,0.2286,55.5,0.0111706,117.134
4000,7.3,0.2286,55.5,0.0111706,117.284
5000,7.3,0.2286,55.5,0.0111706,113.144
6300,7.3,0.2286,55.5,0.0111706,111.534
200,7.3,0.2286,39.6,0.0123481,130.989
250,7.3,0.2286,39.6,0.0123481,131.889
315,7.3,0.2286,39.6,0.0123481,132.149
400,7.3,0.2286,39.6,0.0123481,132.039
500,7.3,0.2286,39.6,0.0123481,130.299
630,7.3,0.2286,39.6,0.0123481,128.929
800,7.3,0.2286,39.6,0.0123481,126.299
1000,7.3,0.2286,39.6,0.0123481,122.539
1250,7.3,0.2286,39.6,0.0123481,123.189
1600,7.3,0.2286,39.6,0.0123481,121.059
2000,7.3,0.2286,39.6,0.0123481,117.809
2500,7.3,0.2286,39.6,0.0123481,116.559
3150,7.3,0.2286,39.6,0.0123481,114.309
4000,7.3,0.2286,39.6,0.0123481,114.079
5000,7.3,0.2286,39.6,0.0123481,111.959
6300,7.3,0.2286,39.6,0.0123481,110.839
200,7.3,0.2286,31.7,0.0132672,128.679
250,7.3,0.2286,31.7,0.0132672,130.089
315,7.3,0.2286,31.7,0.0132672,130.239
400,7.3,0.2286,31.7,0.0132672,130.269
500,7.3,0.2286,31.7,0.0132672,128.169
630,7.3,0.2286,31.7,0.0132672,126.189
800,7.3,0.2286,31.7,0.0132672,123.209
1000,7.3,0.2286,31.7,0.0132672,119.099
1250,7.3,0.2286,31.7,0.0132672,120.509
1600,7.3,0.2286,31.7,0.0132672,119.039
2000,7.3,0.2286,31.7,0.0132672,115.309
2500,7.3,0.2286,31.7,0.0132672,114.709
3150,7.3,0.2286,31.7,0.0132672,113.229
4000,7.3,0.2286,31.7,0.0132672,112.639
5000,7.3,0.2286,31.7,0.0132672,111.029
6300,7.3,0.2286,31.7,0.0132672,110.689
800,0.0,0.1524,71.3,0.0015988,125.817
1000,0.0,0.1524,71.3,0.0015988,127.307
1250,0.0,0.1524,71.3,0.0015988,128.927
1600,0.0,0.1524,71.3,0.0015988,129.667
2000,0.0,0.1524,71.3,0.0015988,128.647
2500,0.0,0.1524,71.3,0.0015988,128.127
3150,0.0,0.1524,71.3,0.0015988,129.377
4000,0.0,0.1524,71.3,0.0015988,128.857
5000,0.0,0.1524,71.3,0.0015988,126.457
6300,0.0,0.1524,71.3,0.0015988,125.427
8000,0.0,0.1524,71.3,0.0015988,122.527
10000,0.0,0.1524,71.3,0.0015988,120.247
12500,0.0,0.1524,71.3,0.0015988,117.087
16000,0.0,0.1524,71.3,0.0015988,113.297
500,0.0,0.1524,55.5,0.00172668,120.573
630,0.0,0.1524,55.5,0.00172668,123.583
800,0.0,0.1524,55.5,0.00172668,126.713
1000,0.0,0.1524,55.5,0.00172668,128.583
1250,0.0,0.1524,55.5,0.00172668,129.953
1600,0.0,0.1524,55.5,0.00172668,130.183
2000,0.0,0.1524,55.5,0.00172668,129.673
2500,0.0,0.1524,55.5,0.00172668,127.763
3150,0.0,0.1524,55.5,0.00172668,127.753
4000,0.0,0.1524,55.5,0.00172668,127.233
5000,0.0,0.1524,55.5,0.00172668,125.203
6300,0.0,0.1524,55.5,0.00172668,123.303
8000,0.0,0.1524,55.5,0.00172668,121.903
10000,0.0,0.1524,55.5,0.00172668,119.253
12500,0.0,0.1524,55.5,0.00172668,117.093
16000,0.0,0.1524,55.5,0.00172668,112.803
500,0.0,0.1524,39.6,0.00193287,119.513
630,0.0,0.1524,39.6,0.00193287,124.403
800,0.0,0.1524,39.6,0.00193287,127.903
1000,0.0,0.1524,39.6,0.00193287,130.033
1250,0.0,0.1524,39.6,0.00193287,131.023
1600,0.0,0.1524,39.6,0.00193287,131.013
2000,0.0,0.1524,39.6,0.00193287,129.633
2500,0.0,0.1524,39.6,0.00193287,126.863
3150,0.0,0.1524,39.6,0.00193287,125.603
4000,0.0,0.1524,39.6,0.00193287,125.343
5000,0.0,0.1524,39.6,0.00193287,123.453
6300,0.0,0.1524,39.6,0.00193287,121.313
8000,0.0,0.1524,39.6,0.00193287,120.553
10000,0.0,0.1524,39.6,0.00193287,115.413
500,0.0,0.1524,31.7,0.00209405,121.617
630,0.0,0.1524,31.7,0.00209405,125.997
800,0.0,0.1524,31.7,0.00209405,129.117
1000,0.0,0.1524,31.7,0.00209405,130.987
1250,0.0,0.1524,31.7,0.00209405,131.467
1600,0.0,0.1524,31.7,0.00209405,130.817
2000,0.0,0.1524,31.7,0.00209405,128.907
2500,0.0,0.1524,31.7,0.00209405,125.867
3150,0.0,0.1524,31.7,0.00209405,124.207
4000,0.0,0.1524,31.7,0.00209405,123.807
5000,0.0,0.1524,31.7,0.00209405,122.397
6300,0.0,0.1524,31.7,0.00209405,119.737
8000,0.0,0.1524,31.7,0.00209405,117.957
630,2.7,0.1524,71.3,0.00243851,127.404
800,2.7,0.1524,71.3,0.00243851,127.394
1000,2.7,0.1524,71.3,0.00243851,128.774
1250,2.7,0.1524,71.3,0.00243851,130.144
1600,2.7,0.1524,71.3,0.00243851,130.644
2000,2.7,0.1524,71.3,0.00243851,130.114
2500,2.7,0.1524,71.3,0.00243851,128.334
3150,2.7,0.1524,71.3,0.00243851,127.054
4000,2.7,0.1524,71.3,0.00243851,126.534
5000,2.7,0.1524,71.3,0.00243851,124.364
6300,2.7,0.1524,71.3,0.00243851,121.944
8000,2.7,0.1524,71.3,0.00243851,120.534
10000,2.7,0.1524,71.3,0.00243851,116.724
12500,2.7,0.1524,71.3,0.00243851,113.034
16000,2.7,0.1524,71.3,0.00243851,110.364
500,2.7,0.1524,39.6,0.00294804,121.009
630,2.7,0.1524,39.6,0.00294804,125.809
800,2.7,0.1524,39.6,0.00294804,128.829
1000,2.7,0.1524,39.6,0.00294804,130.589
1250,2.7,0.1524,39.6,0.00294804,130.829
1600,2.7,0.1524,39.6,0.00294804,130.049
2000,2.7,0.1524,39.6,0.00294804,128.139
2500,2.7,0.1524,39.6,0.00294804,125.589
3150,2.7,0.1524,39.6,0.00294804,122.919
4000,2.7,0.1524,39.6,0.00294804,121.889
5000,2.7,0.1524,39.6,0.00294804,121.499
6300,2.7,0.1524,39.6,0.00294804,119.209
8000,2.7,0.1524,39.6,0.00294804,116.659
10000,2.7,0.1524,39.6,0.00294804,112.589
12500,2.7,0.1524,39.6,0.00294804,108.649
400,5.4,0.1524,71.3,0.00401199,124.121
500,5.4,0.1524,71.3,0.00401199,126.291
630,5.4,0.1524,71.3,0.00401199,128.971
800,5.4,0.1524,71.3,0.00401199,131.281
1000,5.4,0.1524,71.3,0.00401199,133.201
1250,5.4,0.1524,71.3,0.00401199,134.111
1600,5.4,0.1524,71.3,0.00401199,133.241
2000,5.4,0.1524,71.3,0.00401199,131.111
2500,5.4,0.1524,71.3,0.00401199,127.591
3150,5.4,0.1524,71.3,0.00401199,123.311
4000,5.4,0.1524,71.3,0.00401199,121.431
5000,5.4,0.1524,71.3,0.00401199,120.061
6300,5.4,0.1524,71.3,0.00401199,116.411
400,5.4,0.1524,55.5,0.00433288,126.807
500,5.4,0.1524,55.5,0.00433288,129.367
630,5.4,0.1524,55.5,0.00433288,131.807
800,5.4,0.1524,55.5,0.00433288,133.097
1000,5.4,0.1524,55.5,0.00433288,132.127
1250,5.4,0.1524,55.5,0.00433288,130.777
1600,5.4,0.1524,55.5,0.00433288,130.567
2000,5.4,0.1524,55.5,0.00433288,128.707
2500,5.4,0.1524,55.5,0.00433288,124.077
3150,5.4,0.1524,55.5,0.00433288,121.587
4000,5.4,0.1524,55.5,0.00433288,119.737
5000,5.4,0.1524,55.5,0.00433288,118.757
6300,5.4,0.1524,55.5,0.00433288,117.287
8000,5.4,0.1524,55.5,0.00433288,114.927
315,5.4,0.1524,39.6,0.00485029,125.347
400,5.4,0.1524,39.6,0.00485029,127.637
500,5.4,0.1524,39.6,0.00485029,129.937
630,5.4,0.1524,39.6,0.00485029,132.357
800,5.4,0.1524,39.6,0.00485029,132.757
1000,5.4,0.1524,39.6,0.00485029,130.507
1250,5.4,0.1524,39.6,0.00485029,127.117
1600,5.4,0.1524,39.6,0.00485029,126.267
2000,5.4,0.1524,39.6,0.00485029,124.647
2500,5.4,0.1524,39.6,0.00485029,120.497
3150,5.4,0.1524,39.6,0.00485029,119.137
4000,5.4,0.1524,39.6,0.00485029,117.137
5000,5.4,0.1524,39.6,0.00485029,117.037
6300,5.4,0.1524,39.6,0.00485029,116.677
315,5.4,0.1524,31.7,0.00525474,125.741
400,5.4,0.1524,31.7,0.00525474,127.781
500,5.4,0.1524,31.7,0.00525474,129.681
630,5.4,0.1524,31.7,0.00525474,131.471
800,5.4,0.1524,31.7,0.00525474,131.491
1000,5.4,0.1524,31.7,0.00525474,128.241
1250,5.4,0.1524,31.7,0.00525474,123.991
1600,5.4,0.1524,31.7,0.00525474,123.761
2000,5.4,0.1524,31.7,0.00525474,122.771
2500,5.4,0.1524,31.7,0.00525474,119.151
3150,5.4,0.1524,31.7,0.00525474,118.291
4000,5.4,0.1524,31.7,0.00525474,116.181
5000,5.4,0.1524,31.7,0.00525474,115.691
6300,5.4,0.1524,31.7,0.00525474,115.591
315,7.2,0.1524,71.3,0.00752039,128.713
400,7.2,0.1524,71.3,0.00752039,130.123
500,7.2,0.1524,71.3,0.00752039,132.043
630,7.2,0.1524,71.3,0.00752039,134.853
800,7.2,0.1524,71.3,0.00752039,136.023
1000,7.2,0.1524,71.3,0.00752039,134.273
1250,7.2,0.1524,71.3,0.00752039,132.513
1600,7.2,0.1524,71.3,0.00752039,130.893
2000,7.2,0.1524,71.3,0.00752039,128.643
2500,7.2,0.1524,71.3,0.00752039,124.353
3150,7.2,0.1524,71.3,0.00752039,116.783
4000,7.2,0.1524,71.3,0.00752039,119.343
5000,7.2,0.1524,71.3,0.00752039,118.343
6300,7.2,0.1524,71.3,0.00752039,116.603
8000,7.2,0.1524,71.3,0.00752039,113.333
10000,7.2,0.1524,71.3,0.00752039,110.313
250,7.2,0.1524,39.6,0.00909175,127.488
315,7.2,0.1524,39.6,0.00909175,130.558
400,7.2,0.1524,39.6,0.00909175,132.118
500,7.2,0.1524,39.6,0.00909175,132.658
630,7.2,0.1524,39.6,0.00909175,133.198
800,7.2,0.1524,39.6,0.00909175,132.358
1000,7.2,0.1524,39.6,0.00909175,128.338
1250,7.2,0.1524,39.6,0.00909175,122.428
1600,7.2,0.1524,39.6,0.00909175,120.058
2000,7.2,0.1524,39.6,0.00909175,120.228
2500,7.2,0.1524,39.6,0.00909175,117.478
3150,7.2,0.1524,39.6,0.00909175,111.818
4000,7.2,0.1524,39.6,0.00909175,114.258
5000,7.2,0.1524,39.6,0.00909175,113.288
6300,7.2,0.1524,39.6,0.00909175,112.688
8000,7.2,0.1524,39.6,0.00909175,111.588
10000,7.2,0.1524,39.6,0.00909175,110.868
200,9.9,0.1524,71.3,0.0193001,134.319
250,9.9,0.1524,71.3,0.0193001,135.329
315,9.9,0.1524,71.3,0.0193001,135.459
400,9.9,0.1524,71.3,0.0193001,135.079
500,9.9,0.1524,71.3,0.0193001,131.279
630,9.9,0.1524,71.3,0.0193001,129.889
800,9.9,0.1524,71.3,0.0193001,128.879
1000,9.9,0.1524,71.3,0.0193001,126.349
1250,9.9,0.1524,71.3,0.0193001,122.679
1600,9.9,0.1524,71.3,0.0193001,121.789
2000,9.9,0.1524,71.3,0.0193001,120.779
2500,9.9,0.1524,71.3,0.0193001,119.639
3150,9.9,0.1524,71.3,0.0193001,116.849
4000,9.9,0.1524,71.3,0.0193001,115.079
5000,9.9,0.1524,71.3,0.0193001,114.569
6300,9.9,0.1524,71.3,0.0193001,112.039
200,9.9,0.1524,55.5,0.0208438,131.955
250,9.9,0.1524,55.5,0.0208438,133.235
315,9.9,0.1524,55.5,0.0208438,132.355
400,9.9,0.1524,55.5,0.0208438,131.605
500,9.9,0.1524,55.5,0.0208438,127.815
630,9.9,0.1524,55.5,0.0208438,127.315
800,9.9,0.1524,55.5,0.0208438,126.565
1000,9.9,0.1524,55.5,0.0208438,124.665
1250,9.9,0.1524,55.5,0.0208438,121.635
1600,9.9,0.1524,55.5,0.0208438,119.875
2000,9.9,0.1524,55.5,0.0208438,119.505
2500,9.9,0.1524,55.5,0.0208438,118.365
3150,9.9,0.1524,55.5,0.0208438,115.085
4000,9.9,0.1524,55.5,0.0208438,112.945
5000,9.9,0.1524,55.5,0.0208438,112.065
6300,9.9,0.1524,55.5,0.0208438,110.555
200,9.9,0.1524,39.6,0.0233328,127.315
250,9.9,0.1524,39.6,0.0233328,128.335
315,9.9,0.1524,39.6,0.0233328,128.595
400,9.9,0.1524,39.6,0.0233328,128.345
500,9.9,0.1524,39.6,0.0233328,126.835
630,9.9,0.1524,39.6,0.0233328,126.465
800,9.9,0.1524,39.6,0.0233328,126.345
1000,9.9,0.1524,39.6,0.0233328,123.835
1250,9.9,0.1524,39.6,0.0233328,120.555
1600,9.9,0.1524,39.6,0.0233328,118.545
2000,9.9,0.1524,39.6,0.0233328,117.925
2500,9.9,0.1524,39.6,0.0233328,116.295
3150,9.9,0.1524,39.6,0.0233328,113.525
4000,9.9,0.1524,39.6,0.0233328,112.265
5000,9.9,0.1524,39.6,0.0233328,111.135
6300,9.9,0.1524,39.6,0.0233328,109.885
200,9.9,0.1524,31.7,0.0252785,127.299
250,9.9,0.1524,31.7,0.0252785,128.559
315,9.9,0.1524,31.7,0.0252785,128.809
400,9.9,0.1524,31.7,0.0252785,128.939
500,9.9,0.1524,31.7,0.0252785,127.179
630,9.9,0.1524,31.7,0.0252785,126.049
800,9.9,0.1524,31.7,0.0252785,125.539
1000,9.9,0.1524,31.7,0.0252785,122.149
1250,9.9,0.1524,31.7,0.0252785,118.619
1600,9.9,0.1524,31.7,0.0252785,117.119
2000,9.9,0.1524,31.7,0.0252785,116.859
2500,9.9,0.1524,31.7,0.0252785,114.729
3150,9.9,0.1524,31.7,0.0252785,112.209
4000,9.9,0.1524,31.7,0.0252785,111.459
5000,9.9,0.1524,31.7,0.0252785,109.949
6300,9.9,0.1524,31.7,0.0252785,108.689
200,12.6,0.1524,71.3,0.0483159,128.354
250,12.6,0.1524,71.3,0.0483159,129.744
315,12.6,0.1524,71.3,0.0483159,128.484
400,12.6,0.1524,71.3,0.0483159,127.094
500,12.6,0.1524,71.3,0.0483159,121.664
630,12.6,0.1524,71.3,0.0483159,123.304
800,12.6,0.1524,71.3,0.0483159,123.054
1000,12.6,0.1524,71.3,0.0483159,122.044
1250,12.6,0.1524,71.3,0.0483159,120.154
1600,12.6,0.1524,71.3,0.0483159,120.534
2000,12.6,0.1524,71.3,0.0483159,117.504
2500,12.6,0.1524,71.3,0.0483159,115.234
3150,12.6,0.1524,71.3,0.0483159,113.334
4000,12.6,0.1524,71.3,0.0483159,108.034
5000,12.6,0.1524,71.3,0.0483159,108.034
6300,12.6,0.1524,71.3,0.0483159,107.284
200,12.6,0.1524,39.6,0.0584113,114.75
250,12.6,0.1524,39.6,0.0584113,115.89
315,12.6,0.1524,39.6,0.0584113,116.02
400,12.6,0.1524,39.6,0.0584113,115.91
500,12.6,0.1524,39.6,0.0584113,114.9
630,12.6,0.1524,39.6,0.0584113,116.55
800,12.6,0.1524,39.6,0.0584113,116.56
1000,12.6,0.1524,39.6,0.0584113,114.67
1250,12.6,0.1524,39.6,0.0584113,112.16
1600,12.6,0.1524,39.6,0.0584113,110.78
2000,12.6,0.1524,39.6,0.0584113,109.52
2500,12.6,0.1524,39.6,0.0584113,106.88
3150,12.6,0.1524,39.6,0.0584113,106.26
4000,12.6,0.1524,39.6,0.0584113,104.5
5000,12.6,0.1524,39.6,0.0584113,104.13
6300,12.6,0.1524,39.6,0.0584113,103.38
800,0.0,0.0508,71.3,0.000740478,130.96
1000,0.0,0.0508,71.3,0.000740478,129.45
1250,0.0,0.0508,71.3,0.000740478,128.56
1600,0.0,0.0508,71.3,0.000740478,129.68
2000,0.0,0.0508,71.3,0.000740478,131.06
2500,0.0,0.0508,71.3,0.000740478,131.31
3150,0.0,0.0508,71.3,0.000740478,135.07
4000,0.0,0.0508,71.3,0.000740478,134.43
5000,0.0,0.0508,71.3,0.000740478,134.43
6300,0.0,0.0508,71.3,0.000740478,133.04
8000,0.0,0.0508,71.3,0.000740478,130.89
10000,0.0,0.0508,71.3,0.000740478,128.74
12500,0.0,0.0508,71.3,0.000740478,125.22
800,0.0,0.0508,55.5,0.00076193,124.336
1000,0.0,0.0508,55.5,0.00076193,125.586
1250,0.0,0.0508,55.5,0.00076193,127.076
1600,0.0,0.0508,55.5,0.00076193,128.576
2000,0.0,0.0508,55.5,0.00076193,131.456
2500,0.0,0.0508,55.5,0.00076193,133.956
3150,0.0,0.0508,55.5,0.00076193,134.826
4000,0.0,0.0508,55.5,0.00076193,134.946
5000,0.0,0.0508,55.5,0.00076193,134.556
6300,0.0,0.0508,55.5,0.00076193,132.796
8000,0.0,0.0508,55.5,0.00076193,130.156
10000,0.0,0.0508,55.5,0.00076193,127.636
12500,0.0,0.0508,55.5,0.00076193,125.376
800,0.0,0.0508,39.6,0.000791822,126.508
1000,0.0,0.0508,39.6,0.000791822,127.638
1250,0.0,0.0508,39.6,0.000791822,129.148
1600,0.0,0.0508,39.6,0.000791822,130.908
2000,0.0,0.0508,39.6,0.000791822,132.918
2500,0.0,0.0508,39.6,0.000791822,134.938
3150,0.0,0.0508,39.6,0.000791822,135.938
4000,0.0,0.0508,39.6,0.000791822,135.308
5000,0.0,0.0508,39.6,0.000791822,134.308
6300,0.0,0.0508,39.6,0.000791822,131.918
8000,0.0,0.0508,39.6,0.000791822,128.518
10000,0.0,0.0508,39.6,0.000791822,125.998
12500,0.0,0.0508,39.6,0.000791822,123.988
800,0.0,0.0508,31.7,0.000812164,122.79
1000,0.0,0.0508,31.7,0.000812164,126.78
1250,0.0,0.0508,31.7,0.000812164,129.27
1600,0.0,0.0508,31.7,0.000812164,131.01
2000,0.0,0.0508,31.7,0.000812164,133.01
2500,0.0,0.0508,31.7,0.000812164,134.87
3150,0.0,0.0508,31.7,0.000812164,135.49
4000,0.0,0.0508,31.7,0.000812164,134.11
5000,0.0,0.0508,31.7,0.000812164,133.23
6300,0.0,0.0508,31.7,0.000812164,130.34
8000,0.0,0.0508,31.7,0.000812164,126.59
10000,0.0,0.0508,31.7,0.000812164,122.45
12500,0.0,0.0508,31.7,0.000812164,119.07
1600,4.2,0.0508,71.3,0.00142788,124.318
2000,4.2,0.0508,71.3,0.00142788,129.848
2500,4.2,0.0508,71.3,0.00142788,131.978
3150,4.2,0.0508,71.3,0.00142788,133.728
4000,4.2,0.0508,71.3,0.00142788,133.598
5000,4.2,0.0508,71.3,0.00142788,132.828
6300,4.2,0.0508,71.3,0.00142788,129.308
8000,4.2,0.0508,71.3,0.00142788,125.268
10000,4.2,0.0508,71.3,0.00142788,121.238
12500,4.2,0.0508,71.3,0.00142788,117.328
1000,4.2,0.0508,39.6,0.00152689,125.647
1250,4.2,0.0508,39.6,0.00152689,128.427
1600,4.2,0.0508,39.6,0.00152689,130.197
2000,4.2,0.0508,39.6,0.00152689,132.587
2500,4.2,0.0508,39.6,0.00152689,133.847
3150,4.2,0.0508,39.6,0.00152689,133.587
4000,4.2,0.0508,39.6,0.00152689,131.807
5000,4.2,0.0508,39.6,0.00152689,129.777
6300,4.2,0.0508,39.6,0.00152689,125.717
8000,4.2,0.0508,39.6,0.00152689,120.397
10000,4.2,0.0508,39.6,0.00152689,116.967
800,8.4,0.0508,71.3,0.00529514,127.556
1000,8.4,0.0508,71.3,0.00529514,129.946
1250,8.4,0.0508,71.3,0.00529514,132.086
1600,8.4,0.0508,71.3,0.00529514,133.846
2000,8.4,0.0508,71.3,0.00529514,134.476
2500,8.4,0.0508,71.3,0.00529514,134.226
3150,8.4,0.0508,71.3,0.00529514,131.966
4000,8.4,0.0508,71.3,0.00529514,126.926
5000,8.4,0.0508,71.3,0.00529514,121.146
400,8.4,0.0508,55.5,0.00544854,121.582
500,8.4,0.0508,55.5,0.00544854,123.742
630,8.4,0.0508,55.5,0.00544854,126.152
800,8.4,0.0508,55.5,0.00544854,128.562
1000,8.4,0.0508,55.5,0.00544854,130.722
1250,8.4,0.0508,55.5,0.00544854,132.252
1600,8.4,0.0508,55.5,0.00544854,133.032
2000,8.4,0.0508,55.5,0.00544854,133.042
2500,8.4,0.0508,55.5,0.00544854,131.542
3150,8.4,0.0508,55.5,0.00544854,128.402
4000,8.4,0.0508,55.5,0.00544854,122.612
5000,8.4,0.0508,55.5,0.00544854,115.812
400,8.4,0.0508,39.6,0.00566229,120.015
500,8.4,0.0508,39.6,0.00566229,122.905
630,8.4,0.0508,39.6,0.00566229,126.045
800,8.4,0.0508,39.6,0.00566229,128.435
1000,8.4,0.0508,39.6,0.00566229,130.195
1250,8.4,0.0508,39.6,0.00566229,131.205
1600,8.4,0.0508,39.6,0.00566229,130.965
2000,8.4,0.0508,39.6,0.00566229,129.965
2500,8.4,0.0508,39.6,0.00566229,127.465
3150,8.4,0.0508,39.6,0.00566229,123.965
4000,8.4,0.0508,39.6,0.00566229,118.955
400,8.4,0.0508,31.7,0.00580776,120.076
500,8.4,0.0508,31.7,0.00580776,122.966
630,8.4,0.0508,31.7,0.00580776,125.856
800,8.4,0.0508,31.7,0.00580776,128.246
1000,8.4,0.0508,31.7,0.00580776,129.516
1250,8.4,0.0508,31.7,0.00580776,130.156
1600,8.4,0.0508,31.7,0.00580776,129.296
2000,8.4,0.0508,31.7,0.00580776,127.686
2500,8.4,0.0508,31.7,0.00580776,125.576
3150,8.4,0.0508,31.7,0.00580776,122.086
4000,8.4,0.0508,31.7,0.00580776,118.106
200,11.2,0.0508,71.3,0.014072,125.941
250,11.2,0.0508,71.3,0.014072,127.101
315,11.2,0.0508,71.3,0.014072,128.381
400,11.2,0.0508,71.3,0.014072,129.281
500,11.2,0.0508,71.3,0.014072,130.311
630,11.2,0.0508,71.3,0.014072,133.611
800,11.2,0.0508,71.3,0.014072,136.031
1000,11.2,0.0508,71.3,0.014072,136.941
1250,11.2,0.0508,71.3,0.014072,136.191
1600,11.2,0.0508,71.3,0.014072,135.191
2000,11.2,0.0508,71.3,0.014072,133.311
2500,11.2,0.0508,71.3,0.014072,130.541
3150,11.2,0.0508,71.3,0.014072,127.141
4000,11.2,0.0508,71.3,0.014072,122.471
200,11.2,0.0508,39.6,0.0150478,125.01
250,11.2,0.0508,39.6,0.0150478,126.43
315,11.2,0.0508,39.6,0.0150478,128.99
400,11.2,0.0508,39.6,0.0150478,130.67
500,11.2,0.0508,39.6,0.0150478,131.96
630,11.2,0.0508,39.6,0.0150478,133.13
800,11.2,0.0508,39.6,0.0150478,133.79
1000,11.2,0.0508,39.6,0.0150478,132.43
1250,11.2,0.0508,39.6,0.0150478,130.05
1600,11.2,0.0508,39.6,0.0150478,126.54
2000,11.2,0.0508,39.6,0.0150478,124.42
2500,11.2,0.0508,39.6,0.0150478,122.17
3150,11.2,0.0508,39.6,0.0150478,119.67
4000,11.2,0.0508,39.6,0.0150478,115.52
200,15.4,0.0508,71.3,0.0264269,123.595
250,15.4,0.0508,71.3,0.0264269,124.835
315,15.4,0.0508,71.3,0.0264269,126.195
400,15.4,0.0508,71.3,0.0264269,126.805
500,15.4,0.0508,71.3,0.0264269,127.285
630,15.4,0.0508,71.3,0.0264269,129.645
800,15.4,0.0508,71.3,0.0264269,131.515
1000,15.4,0.0508,71.3,0.0264269,131.865
1250,15.4,0.0508,71.3,0.0264269,130.845
1600,15.4,0.0508,71.3,0.0264269,130.065
2000,15.4,0.0508,71.3,0.0264269,129.285
2500,15.4,0.0508,71.3,0.0264269,127.625
3150,15.4,0.0508,71.3,0.0264269,125.715
4000,15.4,0.0508,71.3,0.0264269,122.675
5000,15.4,0.0508,71.3,0.0264269,119.135
6300,15.4,0.0508,71.3,0.0264269,115.215
8000,15.4,0.0508,71.3,0.0264269,112.675
200,15.4,0.0508,55.5,0.0271925,122.94
250,15.4,0.0508,55.5,0.0271925,124.17
315,15.4,0.0508,55.5,0.0271925,125.39
400,15.4,0.0508,55.5,0.0271925,126.5
500,15.4,0.0508,55.5,0.0271925,127.22
630,15.4,0.0508,55.5,0.0271925,129.33
800,15.4,0.0508,55.5,0.0271925,130.43
1000,15.4,0.0508,55.5,0.0271925,130.4
1250,15.4,0.0508,55.5,0.0271925,130.0
1600,15.4,0.0508,55.5,0.0271925,128.2
2000,15.4,0.0508,55.5,0.0271925,127.04
2500,15.4,0.0508,55.5,0.0271925,125.63
3150,15.4,0.0508,55.5,0.0271925,123.46
4000,15.4,0.0508,55.5,0.0271925,120.92
