time,CO
2004-03-19T02:00:00.0,999.0
2004-03-19T03:00:00.0,961.0
2004-03-19T04:00:00.0,934.0
2004-03-19T05:00:00.0,913.0
2004-03-19T06:00:00.0,969.0
2004-03-19T07:00:00.0,1182.0
2004-03-19T08:00:00.0,1740.0
2004-03-19T09:00:00.0,1819.0
2004-03-19T10:00:00.0,1427.0
2004-03-19T11:00:00.0,1390.0
2004-03-19T12:00:00.0,1283.0
2004-03-19T13:00:00.0,1304.0
2004-03-19T14:00:00.0,1364.0
2004-03-19T15:00:00.0,1410.0
2004-03-19T16:00:00.0,1476.0
2004-03-19T17:00:00.0,1522.0
2004-03-19T18:00:00.0,1442.0
2004-03-19T19:00:00.0,1469.0
2004-03-19T20:00:00.0,1467.0
2004-03-19T21:00:00.0,1421.0
2004-03-19T22:00:00.0,1175.0
2004-03-19T23:00:00.0,1215.0
2004-03-20T00:00:00.0,1127.0
2004-03-20T01:00:00.0,1090.0
2004-03-20T02:00:00.0,1017.0
2004-03-20T03:00:00.0,997.0
2004-03-20T04:00:00.0,945.0
2004-03-20T05:00:00.0,956.0
2004-03-20T06:00:00.0,966.0
2004-03-20T07:00:00.0,1064.0
2004-03-20T08:00:00.0,1300.0
2004-03-20T09:00:00.0,1348.0
2004-03-20T10:00:00.0,1425.0
2004-03-20T11:00:00.0,1474.0
2004-03-20T12:00:00.0,1490.0
2004-03-20T13:00:00.0,1495.0
2004-03-20T14:00:00.0,1376.0
2004-03-20T15:00:00.0,1305.0
2004-03-20T16:00:00.0,1283.0
2004-03-20T17:00:00.0,1392.0
2004-03-20T18:00:00.0,1452.0
2004-03-20T19:00:00.0,1633.0
2004-03-20T20:00:00.0,1625.0
2004-03-20T21:00:00.0,1535.0
2004-03-20T22:00:00.0,1323.0
2004-03-20T23:00:00.0,1309.0
2004-03-21T00:00:00.0,1456.0
2004-03-21T01:00:00.0,1300.0
2004-03-21T02:00:00.0,1203.0
2004-03-21T03:00:00.0,1195.0
2004-03-21T04:00:00.0,1117.0
2004-03-21T05:00:00.0,1062.0
2004-03-21T06:00:00.0,947.0
2004-03-21T07:00:00.0,1065.0
2004-03-21T08:00:00.0,1155.0
2004-03-21T09:00:00.0,1220.0
2004-03-21T10:00:00.0,1301.0
2004-03-21T11:00:00.0,1279.0
2004-03-21T12:00:00.0,1267.0
2004-03-21T13:00:00.0,1239.0
2004-03-21T14:00:00.0,1128.0
2004-03-21T15:00:00.0,1243.0
2004-03-21T16:00:00.0,1208.0
2004-03-21T17:00:00.0,1306.0
2004-03-21T18:00:00.0,1546.0
2004-03-21T19:00:00.0,1501.0
2004-03-21T20:00:00.0,1605.0
2004-03-21T21:00:00.0,1316.0
2004-03-21T22:00:00.0,1195.0
2004-03-21T23:00:00.0,1211.0
2004-03-22T00:00:00.0,1161.0
2004-03-22T01:00:00.0,1095.0
2004-03-22T02:00:00.0,897.0
2004-03-22T03:00:00.0,842.0
2004-03-22T04:00:00.0,854.0
2004-03-22T05:00:00.0,845.0
2004-03-22T06:00:00.0,942.0
2004-03-22T07:00:00.0,1090.0
2004-03-22T08:00:00.0,1514.0
2004-03-22T09:00:00.0,1379.0
2004-03-22T10:00:00.0,1074.0
2004-03-22T11:00:00.0,1090.0
2004-03-22T12:00:00.0,1110.0
2004-03-22T13:00:00.0,1102.0
2004-03-22T14:00:00.0,1100.0
2004-03-22T15:00:00.0,1094.0
2004-03-22T16:00:00.0,1076.0
2004-03-22T17:00:00.0,1152.0
2004-03-22T18:00:00.0,1407.0
2004-03-22T19:00:00.0,1438.0
2004-03-22T20:00:00.0,1425.0
2004-03-22T21:00:00.0,1279.0
2004-03-22T22:00:00.0,1132.0
2004-03-22T23:00:00.0,1006.0
2004-03-23T00:00:00.0,982.0
2004-03-23T01:00:00.0,969.0
2004-03-23T02:00:00.0,941.0
2004-03-23T03:00:00.0,892.0
2004-03-23T04:00:00.0,855.0
2004-03-23T05:00:00.0,834.0
2004-03-23T06:00:00.0,909.0
2004-03-23T07:00:00.0,1061.0
2004-03-23T08:00:00.0,1441.0
2004-03-23T09:00:00.0,1498.0
2004-03-23T10:00:00.0,1343.0
2004-03-23T11:00:00.0,1308.0
2004-03-23T12:00:00.0,1209.0
2004-03-23T13:00:00.0,1310.0
2004-03-23T14:00:00.0,1171.0
2004-03-23T15:00:00.0,1112.0
2004-03-23T16:00:00.0,1132.0
2004-03-23T17:00:00.0,1225.0
2004-03-23T18:00:00.0,1065.0
2004-03-23T19:00:00.0,1236.0
2004-03-23T20:00:00.0,1309.0
2004-03-23T21:00:00.0,1089.0
2004-03-23T22:00:00.0,1000.0
2004-03-23T23:00:00.0,1041.0
2004-03-24T00:00:00.0,1045.0
2004-03-24T01:00:00.0,997.0
2004-03-24T02:00:00.0,948.0
2004-03-24T03:00:00.0,878.0
2004-03-24T04:00:00.0,908.0
2004-03-24T05:00:00.0,892.0
2004-03-24T06:00:00.0,954.0
2004-03-24T07:00:00.0,1045.0
2004-03-24T08:00:00.0,1383.0
2004-03-24T09:00:00.0,1597.0
2004-03-24T10:00:00.0,1318.0
2004-03-24T11:00:00.0,1138.0
2004-03-24T12:00:00.0,1098.0
2004-03-24T13:00:00.0,1118.0
2004-03-24T14:00:00.0,1170.0
2004-03-24T15:00:00.0,1112.0
2004-03-24T16:00:00.0,1390.0
2004-03-24T17:00:00.0,1353.0
2004-03-24T18:00:00.0,1260.0
2004-03-24T19:00:00.0,1501.0
2004-03-24T20:00:00.0,1273.0
2004-03-24T21:00:00.0,1179.0
2004-03-24T22:00:00.0,1047.0
2004-03-24T23:00:00.0,973.0
2004-03-25T00:00:00.0,997.0
2004-03-25T01:00:00.0,970.0
2004-03-25T02:00:00.0,902.0
2004-03-25T03:00:00.0,921.0
2004-03-25T04:00:00.0,858.0
2004-03-25T05:00:00.0,878.0
2004-03-25T06:00:00.0,893.0
2004-03-25T07:00:00.0,1038.0
2004-03-25T08:00:00.0,1320.0
2004-03-25T09:00:00.0,1353.0
2004-03-25T10:00:00.0,1133.0
2004-03-25T11:00:00.0,1066.0
2004-03-25T12:00:00.0,1027.0
2004-03-25T13:00:00.0,1106.0
2004-03-25T14:00:00.0,1038.0
2004-03-25T15:00:00.0,1084.0
2004-03-25T16:00:00.0,1105.0
2004-03-25T17:00:00.0,1102.0
2004-03-25T18:00:00.0,1240.0
2004-03-25T19:00:00.0,1443.0
2004-03-25T20:00:00.0,1389.0
2004-03-25T21:00:00.0,1183.0
2004-03-25T22:00:00.0,1014.0
2004-03-25T23:00:00.0,979.0
2004-03-26T00:00:00.0,1048.0
2004-03-26T01:00:00.0,1024.0
2004-03-26T02:00:00.0,974.0
2004-03-26T03:00:00.0,862.0
2004-03-26T04:00:00.0,925.0
2004-03-26T05:00:00.0,952.0
2004-03-26T06:00:00.0,1005.0
2004-03-26T07:00:00.0,1122.0
2004-03-26T08:00:00.0,1351.0
2004-03-26T09:00:00.0,1408.0
2004-03-26T10:00:00.0,1304.0
2004-03-26T11:00:00.0,1207.0
2004-03-26T12:00:00.0,1099.0
2004-03-26T13:00:00.0,1106.0
2004-03-26T14:00:00.0,1009.0
2004-03-26T15:00:00.0,962.0
2004-03-26T16:00:00.0,1093.0
2004-03-26T17:00:00.0,1180.0
2004-03-26T18:00:00.0,1168.0
2004-03-26T19:00:00.0,1168.0
2004-03-26T20:00:00.0,1140.0
2004-03-26T21:00:00.0,1001.0
2004-03-26T22:00:00.0,953.0
2004-03-26T23:00:00.0,972.0
2004-03-27T00:00:00.0,1021.0
2004-03-27T01:00:00.0,940.0
2004-03-27T02:00:00.0,1046.0
2004-03-27T03:00:00.0,1026.0
2004-03-27T04:00:00.0,983.0
2004-03-27T05:00:00.0,915.0
2004-03-27T06:00:00.0,935.0
2004-03-27T07:00:00.0,976.0
2004-03-27T08:00:00.0,1124.0
2004-03-27T09:00:00.0,1163.0
2004-03-27T10:00:00.0,1167.0
2004-03-27T11:00:00.0,1121.0
2004-03-27T12:00:00.0,1071.0
2004-03-27T13:00:00.0,1065.0
2004-03-27T14:00:00.0,1157.0
2004-03-27T15:00:00.0,1046.0
2004-03-27T16:00:00.0,1147.0
2004-03-27T17:00:00.0,1119.0
2004-03-27T18:00:00.0,1210.0
2004-03-27T19:00:00.0,1306.0
2004-03-27T20:00:00.0,1258.0
2004-03-27T21:00:00.0,1148.0
2004-03-27T22:00:00.0,1108.0
2004-03-27T23:00:00.0,1231.0
2004-03-28T00:00:00.0,1293.0
2004-03-28T01:00:00.0,1274.0
2004-03-28T02:00:00.0,1135.0
2004-03-28T03:00:00.0,1151.0
2004-03-28T04:00:00.0,1010.0
2004-03-28T05:00:00.0,870.0
2004-03-28T06:00:00.0,983.0
2004-03-28T07:00:00.0,995.0
2004-03-28T08:00:00.0,1024.0
2004-03-28T09:00:00.0,1163.0
2004-03-28T10:00:00.0,1218.0
2004-03-28T11:00:00.0,1210.0
2004-03-28T12:00:00.0,1114.0
2004-03-28T13:00:00.0,995.0
2004-03-28T14:00:00.0,927.0
2004-03-28T15:00:00.0,1002.0
2004-03-28T16:00:00.0,987.0
2004-03-28T17:00:00.0,993.0
2004-03-28T18:00:00.0,1012.0
2004-03-28T19:00:00.0,1114.0
2004-03-28T20:00:00.0,1093.0
2004-03-28T21:00:00.0,968.0
2004-03-28T22:00:00.0,960.0
2004-03-28T23:00:00.0,942.0
2004-03-29T00:00:00.0,888.0
2004-03-29T01:00:00.0,818.0
2004-03-29T02:00:00.0,840.0
2004-03-29T03:00:00.0,894.0
2004-03-29T04:00:00.0,864.0
2004-03-29T05:00:00.0,898.0
2004-03-29T06:00:00.0,946.0
2004-03-29T07:00:00.0,1309.0
2004-03-29T08:00:00.0,1326.0
2004-03-29T09:00:00.0,966.0
2004-03-29T10:00:00.0,975.0
2004-03-29T11:00:00.0,988.0
2004-03-29T12:00:00.0,971.0
2004-03-29T13:00:00.0,1010.0
2004-03-29T14:00:00.0,984.0
2004-03-29T15:00:00.0,962.0
2004-03-29T16:00:00.0,1012.0
2004-03-29T17:00:00.0,1058.0
2004-03-29T18:00:00.0,1173.0
2004-03-29T19:00:00.0,1127.0
2004-03-29T20:00:00.0,1020.0
2004-03-29T21:00:00.0,949.0
2004-03-29T22:00:00.0,930.0
2004-03-29T23:00:00.0,900.0
2004-03-30T00:00:00.0,899.0
2004-03-30T01:00:00.0,866.0
2004-03-30T02:00:00.0,900.0
2004-03-30T03:00:00.0,949.0
2004-03-30T04:00:00.0,897.0
2004-03-30T05:00:00.0,956.0
2004-03-30T06:00:00.0,1054.0
2004-03-30T07:00:00.0,1343.0
2004-03-30T08:00:00.0,1584.0
2004-03-30T09:00:00.0,1556.0
2004-03-30T10:00:00.0,1565.0
2004-03-30T11:00:00.0,1429.0
2004-03-30T12:00:00.0,1419.0
2004-03-30T13:00:00.0,1373.0
2004-03-30T14:00:00.0,1185.0
2004-03-30T15:00:00.0,1122.0
2004-03-30T16:00:00.0,1085.0
2004-03-30T17:00:00.0,1249.0
2004-03-30T18:00:00.0,1236.0
2004-03-30T19:00:00.0,1334.0
2004-03-30T20:00:00.0,1264.0
2004-03-30T21:00:00.0,1073.0
2004-03-30T22:00:00.0,1053.0
2004-03-30T23:00:00.0,1098.0
2004-03-31T00:00:00.0,1029.0
2004-03-31T01:00:00.0,973.0
2004-03-31T02:00:00.0,972.0
2004-03-31T03:00:00.0,832.0
2004-03-31T04:00:00.0,851.0
2004-03-31T05:00:00.0,909.0
2004-03-31T06:00:00.0,1038.0
2004-03-31T07:00:00.0,1636.0
2004-03-31T08:00:00.0,1580.0
2004-03-31T09:00:00.0,1262.0
2004-03-31T10:00:00.0,1197.0
2004-03-31T11:00:00.0,1277.0
2004-03-31T12:00:00.0,1430.0
2004-03-31T13:00:00.0,1242.0
