pp,AlcBeerFirst,CorrectIdentify,ConfidenceRating,AlcRating,NonAlcRating
1,,1,92,81,32
2,,0,30,50,50
3,,1,82,55,38
4,,1,80,80,4
5,,1,91,60,0
6,,1,75,70,40
7,,1,60,45,10
8,,0,99,60,40
9,,0,95,72,80
10,1,1,75,75,45
11,0,1,60,1.5,1
12,1,1,85,70,45
13,1,1,90,60,30
14,1,1,90,60,10
15,1,0,40,70,30
16,1,0,55,40,50
17,0,1,75,60,50
18,0,1,75,70,5
19,0,0,65,40,55
20,0,1,68,40,70
21,1,0,80,65,75
22,1,1,60,65,60
23,0,1,100,65,10
24,1,1,99,40,5
25,0,0,70,10,70
26,1,1,95,75,15
27,1,0,80,70,60
28,1,1,100,80,30
29,1,0,70,40,60
30,1,1,99,75,40
31,0,1,90,65,60
32,1,1,88,35,38
33,0,0,55,50,60
34,0,1,80,80,40
35,1,1,80,70,40
36,1,1,30,50,40
37,0,1,80,60,20
38,0,1,30,20,20
39,1,1,25,30,20
40,1,1,80,70,50
41,0,0,65,75,65
42,1,1,60,15,10
43,0,1,80,50,20
44,1,1,95,85,45
45,0,1,100,90,10
46,0,1,90,70,30
47,1,1,95,70,30
48,1,1,70,80,40
49,1,1,80,67,43
50,0,1,75,70,30
51,0,1,25,35,15
52,1,0,90,50,90
53,0,1,75,50,20
54,1,1,65,40,25
55,0,0,12,10,10
56,1,0,65,40,70
57,1,1,90,55,20